"question","url","source"
"What is the epsilon-delta definition of a limit and why is it important in mathematical analysis?","https://www.khanacademy.org/math/calculus-1","Khan Academy"
"Explain the intuitive meaning of a limit as x approaches a value c.","https://www.khanacademy.org/math/calculus-1","Khan Academy"
"How do you evaluate the limit of (sin x)/x as x approaches 0?","https://ocw.mit.edu/courses/18-01sc-single-variable-calculus-fall-2010/","MIT OCW"
"What is the Squeeze Theorem and when would you apply it?","https://tutorial.math.lamar.edu/Classes/CalcI/CalcI.aspx","Paul's Online Math Notes"
"Explain the difference between a left-hand limit and a right-hand limit.","https://www.khanacademy.org/math/calculus-1","Khan Academy"
"When does a limit fail to exist? Give three distinct scenarios.","https://www.mathsisfun.com/calculus/","Math is Fun"
"How do you evaluate limits involving absolute value functions?","https://tutorial.math.lamar.edu/Classes/CalcI/CalcI.aspx","Paul's Online Math Notes"
"What is the limit of (1 + 1/n)^n as n approaches infinity and why is it fundamental?","https://en.wikipedia.org/wiki/Calculus","Wikipedia"
"Explain continuity at a point using the three-part definition.","https://www.khanacademy.org/math/calculus-1","Khan Academy"
"What are the three types of discontinuities and how do they differ?","https://www.mathsisfun.com/calculus/","Math is Fun"
"How does the Intermediate Value Theorem relate to continuity?","https://ocw.mit.edu/courses/18-01sc-single-variable-calculus-fall-2010/","MIT OCW"
"What is the difference between removable and essential discontinuities?","https://tutorial.math.lamar.edu/Classes/CalcI/CalcI.aspx","Paul's Online Math Notes"
"Explain why continuity is necessary but not sufficient for differentiability.","https://www.3blue1brown.com/topics/calculus","3Blue1Brown"
"Give an example of a function that is continuous everywhere but differentiable nowhere.","https://en.wikipedia.org/wiki/Calculus","Wikipedia"
"How do you determine if a piecewise function is continuous at the boundary points?","https://www.khanacademy.org/math/calculus-1","Khan Academy"
"What is uniform continuity and how does it differ from pointwise continuity?","https://ocw.mit.edu/courses/18-01sc-single-variable-calculus-fall-2010/","MIT OCW"
"Why is the concept of limits fundamental to understanding gradient descent in ML?","https://d2l.ai/chapter_appendix-mathematics-for-deep-learning/calculus.html","Dive into Deep Learning"
"How does the concept of continuity relate to loss function design in neural networks?","https://www.deeplearningbook.org/contents/numerical.html","Deep Learning Book"
"Explain why ReLU is continuous but not differentiable at x = 0.","https://cs231n.github.io/neural-networks-case-study/","Stanford CS231n"
"What happens when you take the limit of a neural network's loss as the learning rate approaches zero?","https://d2l.ai/chapter_appendix-mathematics-for-deep-learning/calculus.html","Dive into Deep Learning"
